,Date,Open,High,Low,Close*,Adj Close**,Volume
4421,"Sep 16, 2003",88.49,90.41,88.49,90.29,57.81,7896100
4422,"Sep 15, 2003",89.70,89.96,88.39,88.49,56.65,7305400
4423,"Sep 12, 2003",87.60,89.01,87.20,88.70,56.79,7209200
4424,"Sep 11, 2003",86.75,88.42,86.40,87.92,56.29,9753500
4425,"Sep 10, 2003",88.99,89.00,87.61,87.84,56.24,7322600
4426,"Sep 09, 2003",89.20,89.97,88.93,89.42,57.25,8102500
4427,"Sep 08, 2003",88.45,89.66,88.35,89.10,57.04,9213400
4428,"Sep 05, 2003",87.00,88.26,86.75,86.95,55.67,7896600
4429,"Sep 04, 2003",86.33,88.29,85.69,87.91,56.28,9889100
4430,"Sep 03, 2003",86.24,87.30,86.00,86.33,55.27,10835700
4431,"Sep 02, 2003",82.40,85.96,82.30,85.76,54.91,12406400
4432,"Aug 29, 2003",81.95,82.11,81.56,82.01,52.51,4222700
4433,"Aug 28, 2003",82.00,82.34,81.27,81.90,52.44,5516300
4434,"Aug 27, 2003",82.00,82.53,81.90,82.00,52.50,3834100
4435,"Aug 26, 2003",81.65,82.54,81.27,82.50,52.82,5569600
4436,"Aug 25, 2003",82.85,83.03,81.75,81.96,52.47,5150900
4437,"Aug 22, 2003",84.25,84.72,82.96,82.97,53.12,7434900
4438,"Aug 21, 2003",83.39,83.85,82.85,82.85,53.04,5185200
4439,"Aug 20, 2003",82.00,83.31,82.00,83.05,53.17,4829900
4440,"Aug 19, 2003",83.10,83.81,82.56,82.85,53.04,6318300
4441,"Aug 18, 2003",82.05,83.68,81.90,83.52,53.47,6847200
4442,"Aug 15, 2003",81.80,81.98,81.20,81.79,52.36,3623600
4443,"Aug 14, 2003",81.00,81.75,80.69,81.56,52.22,4562700
4444,"Aug 13, 2003",81.65,82.19,80.58,81.20,51.99,5138400
4445,"Aug 12, 2003",81.45,81.54,80.65,81.51,52.19,4634200
4446,"Aug 11, 2003",80.87,81.50,80.28,81.02,51.87,4261200
4447,"Aug 08, 2003",81.05,81.27,80.35,80.88,51.78,4613800
4448,"Aug 07, 2003",79.69,80.82,79.38,80.69,51.66,5298500
4449,"Aug 06, 2003",79.70,80.68,78.73,79.75,51.06,7472200
4450,"Aug 06, 2003",0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend,0.16 Dividend
4451,"Aug 05, 2003",81.13,81.33,79.80,79.85,51.02,7018100
4452,"Aug 04, 2003",80.75,81.36,80.06,81.13,51.84,5888000
4453,"Aug 01, 2003",81.15,81.27,80.05,81.27,51.93,6475400
4454,"Jul 31, 2003",81.80,82.54,81.10,81.25,51.91,8050300
4455,"Jul 30, 2003",82.45,82.45,80.58,80.96,51.73,6654600
4456,"Jul 29, 2003",82.55,82.88,81.60,81.80,52.27,7282700
4457,"Jul 28, 2003",83.67,83.70,82.04,82.54,52.74,6423500
4458,"Jul 25, 2003",81.60,83.74,81.57,83.55,53.38,6204700
4459,"Jul 24, 2003",82.95,82.99,81.51,81.51,52.08,5859100
4460,"Jul 23, 2003",82.00,82.77,81.73,82.30,52.59,5326800
4461,"Jul 22, 2003",82.50,83.26,81.52,81.85,52.30,8744300
4462,"Jul 21, 2003",83.20,83.43,82.21,82.50,52.71,7036100
4463,"Jul 18, 2003",83.85,84.02,83.21,83.72,53.49,8567200
4464,"Jul 17, 2003",82.70,83.94,82.50,83.33,53.24,13515700
4465,"Jul 16, 2003",87.00,87.03,85.85,86.74,55.42,8837600
4466,"Jul 15, 2003",86.15,87.00,85.82,86.44,55.23,7910400
4467,"Jul 14, 2003",86.00,86.58,85.42,85.42,54.58,6455200
4468,"Jul 11, 2003",84.10,85.28,83.70,84.89,54.24,4534700
4469,"Jul 10, 2003",85.00,85.22,83.47,84.03,53.69,7509200
